"","Filtros"
"Cancelada","Não"
"Operação","S - Venda"

"Documento","Código Produto","Cancelada","Operação","Valor item NF","Valor Total Item","Desconto Item","Plano de Pagamento","Qtde Item","Descrição Produto","Linha Produto","Setor Produto","Aprovador Desconto"
"29507","5460","Não","S - Venda","8,75","8,75","0,00","DINHEIRO","1,00","Tomada Sobrepor 10a/250v Br","Residencial","Elétrica","(blank)"
"29507","5486","Não","S - Venda","9,49","9,49","0,00","DINHEIRO","1,00","Pino T 2p 10a/250v Pt","Residencial","Elétrica","(blank)"
"29508","9794574","Não","S - Venda","10,00","10,00","0,00","CRÉDITO 1X - REDE CARD","1,00","Caneca Esmaltada 250ML","Loucas de Mesa","Loucas","(blank)"
"29508","17842","Não","S - Venda","6,00","6,00","0,00","CRÉDITO 1X - REDE CARD","2,00","Disco Corte 4.5x1.2mm Aco/Inox Dtools Pro","Acessorios de Ferragem","Ferragem","(blank)"
"29509","4892","Não","S - Venda","5,75","5,75","0,00","DINHEIRO","1,00","Marcador Cd/Retroprojetor Ponta Md Pt","Acessorios Escolares","Escolar/escritorio","(blank)"
"29510","30557","Não","S - Venda","3,25","3,25","0,00","DÉBITO - REDE CARD","1,00","Cola Escolar Branca 90g","Acessorios Escolares","Escolar/escritorio","(blank)"
"29510","9791562","Não","S - Venda","7,50","7,50","0,00","DÉBITO - REDE CARD","1,00","Tesoura Escolar Pequena WPT15031","Acessorios Escolares","Escolar/escritorio","(blank)"
"29510","4880","Não","S - Venda","27,75","27,75","0,00","DÉBITO - REDE CARD","1,00","Lapis Cor 12 Cores Ecoplapis","Acessorios Escolares","Escolar/escritorio","(blank)"
"29511","9794537","Não","S - Venda","16,50","16,50","0,00","DÉBITO - REDE CARD","2,00","Capa Chuva Descartavel Nacional","Bazar","Bazar","(blank)"
"29512","2808","Não","S - Venda","39,75","39,75","0,00","DÉBITO - REDE CARD","1,00","Anel Panela Pressao Tramontina Valencia Silicone 20cm","Assistencia Tecnica","Assistencia Tecnica","(blank)"
"29513","9401","Não","S - Venda","7,75","7,75","0,00","DINHEIRO","1,00","Pilha Panasonic Comum Pq Aa C/4","Caixas","Caixas","(blank)"
"29513","5580","Não","S - Venda","7,75","7,75","0,00","DINHEIRO","1,00","Inter Sobrepor 1tc 10a/250v Br","Residencial","Elétrica","(blank)"
"29513","5493","Não","S - Venda","17,00","17,00","0,00","DINHEIRO","2,00","Plugue Femea 2p + t 10a/250v Br","Residencial","Elétrica","(blank)"
"29513","5456","Não","S - Venda","7,98","7,98","0,00","DINHEIRO","2,00","Plugue Macho 2p 10a/250v Br","Residencial","Elétrica","(blank)"
"29513","9797","Não","S - Venda","23,75","23,75","0,00","DINHEIRO","1,00","Refil Asp P/ Electrolux Flex","Lavanderia","Lavanderia","(blank)"
"29514","16188","Não","S - Venda","3,00","3,00","0,00","DINHEIRO","2,00","Luva Sold 1/2","Tubos e Conexoes","Hidraulicos","(blank)"
"29514","16192","Não","S - Venda","2,75","2,75","0,00","DINHEIRO","1,00","Luva Reduc Sold 1/2x3/4","Tubos e Conexoes","Hidraulicos","(blank)"
"29514","16187","Não","S - Venda","2,50","2,50","0,00","DINHEIRO","2,00","Joelho 90g Sold 3/4","Tubos e Conexoes","Hidraulicos","(blank)"
"29514","16214","Não","S - Venda","9,00","9,00","0,00","DINHEIRO","1,00","Te Sold Sold 3/4 Rosca 1/2","Pecas Frias","Hidraulicos","(blank)"
"29514","3936","Não","S - Venda","6,90","6,90","0,00","DINHEIRO","1,00","Torneira Plast C/ Reducao P/ Jardim","Pecas Frias","Hidraulicos","(blank)"
"29514","16189","Não","S - Venda","1,25","1,25","0,00","DINHEIRO","1,00","Luva Sold 25mm Marrom","Tubos e Conexoes","Hidraulicos","(blank)"
"29515","9793017","Não","S - Venda","22,75","22,75","0,00","DINHEIRO","1,00","Extensao 5m Pl 2p 0.75mm 220v Br Megatron","Residencial","Elétrica","(blank)"
"29515","23316","Não","S - Venda","5,50","5,50","0,00","DINHEIRO","1,00","Cola Pvc Tubos 17g","Tubos e Conexoes","Hidraulicos","(blank)"
"29515","16208","Não","S - Venda","4,00","4,00","0,00","DINHEIRO","1,00","Joelho 90g Sold C/rosca Int 1/2","Tubos e Conexoes","Hidraulicos","(blank)"
"29515","16184","Não","S - Venda","2,25","2,25","0,00","DINHEIRO","1,00","Joelho 45 Soldavel 20mm 1/2 Mr","Pecas Frias","Hidraulicos","(blank)"
"29515","16188","Não","S - Venda","6,00","6,00","0,00","DINHEIRO","4,00","Luva Sold 1/2","Tubos e Conexoes","Hidraulicos","(blank)"
"29516","449083","Não","S - Venda","22,50","22,50","0,00","DINHEIRO","2,00","Plastico Mesa Cristal 0.15mm","Fracionados","Fracionados","(blank)"
"29517","8361","Não","S - Venda","28,00","28,00","0,00","DINHEIRO","1,00","Guarda-Chuva Paráguas Pt Mor","Bazar","Bazar","(blank)"
"29518","1417","Não","S - Venda","42,00","42,00","0,00","QR LINX - PIX","3,00","Coador Cafe 94741","Utensilios de Cozinha","Utilidades Domesticas","(blank)"
"29518","11","Não","S - Venda","4,25","4,25","0,00","QR LINX - PIX","1,00","Tic Tac Menta 203g","Caixas","Caixas","(blank)"
"29519","28668","Não","S - Venda","13,75","13,75","0,00","DÉBITO - REDE CARD","1,00","Pote 200ml Vidro C/ Tampa Colher 10x6cm","Loucas de Servir","Loucas","(blank)"
"29519","25522","Não","S - Venda","16,50","16,50","0,00","DÉBITO - REDE CARD","1,00","Sacos Zipclip Hermeticos C/30 16.5x15cm","Bazar","Bazar","(blank)"
"29519","23625","Não","S - Venda","5,00","5,00","0,00","DÉBITO - REDE CARD","1,00","Bico Dosador 2 Pcs","Utensilios de Cozinha","Utilidades Domesticas","(blank)"
"29519","18377","Não","S - Venda","6,50","6,50","0,00","DÉBITO - REDE CARD","1,00","Clip Dosador de Cafe Decor-Útil","Utensilios de Cozinha","Utilidades Domesticas","(blank)"
