Ano,Mês,Código do Produto,Código de Barras,Descrição do Produto,Quantidade,Valor Bruto,Valor Desconto,Valor Líquido,Valor Vale Troca
2023.0,04/2023,7891115083407.0,7891115083407.0,Sanduicheira Decor Rosa Plasvale,2.0,"16,00","0,00","16,00","0,00"
2023.0,04/2023,7896359010417.0,7896359010417.0,Bacia Plast Sanremo 275mm Diam 601,15.0,"228,75","74,90","153,85","0,00"
2023.0,04/2023,7896359040933.0,7896359040933.0,Cj 3 Potes 00l 530ml Sanremo Ultraprotect,1.0,"26,50","0,00","26,50","0,00"
2023.0,04/2023,7897291815207.0,7897291815207.0,"Caixa Versatil Giplas 8,5L  Cv-85",10.0,"170,00","0,00","170,00","0,00"
2023.0,04/2023,7896359029143.0,7896359029143.0,Pote 1.4l Sanremo C/ Travas Plast SR1760,1.0,"19,75","0,00","19,75","0,00"
2023.0,04/2023,7895155242558.0,7895155242558.0,Porta Detergente Uz Vm,7.0,"115,50","0,00","115,50","0,00"
2023.0,04/2023,7896553989502.0,7896553989502.0,Aucareiro Due 300ml Casual Rs,1.0,"25,50","0,00","25,50","0,00"
2023.0,04/2023,7898943564313.0,7898943564313.0,Organizador Diamond 25x20x8cm Cristal,5.0,"280,00","0,00","280,00","0,00"
2023.0,04/2023,7899014661177.0,7899014661177.0,Cabide Cajovil Inf Urso 2 Pcs Lfof Az Cl,1.0,"9,75","0,00","9,75","0,00"
2023.0,04/2023,7898121651989.0,7898121651989.0,Pote 3 Div,3.0,"27,75","0,00","27,75","0,00"
2023.0,04/2023,7909875082575.0,7909875082575.0,Cj Organizador Conecta Plast Translucido Capuccino,4.0,"153,00","0,00","153,00","0,00"
2023.0,04/2023,7896020691174.0,7896020691174.0,Suporte Coador 102 Preto Mor,4.0,"48,00","0,00","48,00","0,00"
2023.0,04/2023,7891115073309.0,7891115073309.0,Marmita Plasvale Quad Hermetica,2.0,"24,00","0,00","24,00","0,00"
2023.0,04/2023,7898919089284.0,7898919089284.0,Urinol Arqplast Az Plast,1.0,"9,25","0,00","9,25","0,00"
2023.0,04/2023,7896359006533.0,7896359006533.0,Gole Gut Citrus Sanremo Cilin 756,3.0,"42,00","0,00","42,00","0,00"
2023.0,04/2023,7897291830910.0,7897291830910.0,Lixeira 3.75ml Giplas Quad Basc Br Lib-04,9.0,"72,00","0,00","72,00","8,00"
2023.0,04/2023,7896952531715.0,7896952531715.0,Organizador 1.1l Jaguar Slim C/ Divisoria,4.0,"32,00","0,00","32,00","0,00"
2023.0,04/2023,7896952531722.0,7896952531722.0,Organizador Ret 1.4l Jaguar Slim,7.0,"57,75","0,00","57,75","0,00"
2023.0,04/2023,7896359000319.0,7896359000319.0,Pote Quadrado Baixo 580ml,6.0,"39,00","0,00","39,00","0,00"
2023.0,04/2023,7896359043194.0,7896359043194.0,Bandeja Pro Retang Plastico Sanremo,1.0,"38,00","0,00","38,00","0,00"
2023.0,04/2023,7899014647232.0,7899014647232.0,Copo C/ Bico 350ml Rs Bebe Translucido,1.0,"6,50","0,00","6,50","0,00"
2023.0,04/2023,7899110646306.0,7899110646306.0,Caneca 250ml Inox,1.0,"5,25","0,00","5,25","0,00"
2023.0,04/2023,7896952507178.0,7896952507178.0,Cj Porta Mantimenos Quad 5Pcs Jaguar Decor,1.0,"62,25","0,00","62,25","0,00"
2023.0,04/2023,7898943567130.0,7898943567130.0,Pote Hermetico Quad Lumini 480ml,1.0,"29,50","0,00","29,50","0,00"
2023.0,04/2023,7896359000555.0,7896359000555.0,Jarra Plástica Para Água de 2l - Sanremo,10.0,"182,50","0,00","182,50","0,00"
2023.0,04/2023,7896553949469.0,7896553949469.0,Organizador Single Pt,1.0,"18,25","0,00","18,25","0,00"
2023.0,04/2023,7908281372683.0,7908281372683.0,Garrafa C/Alca Drink Me ELG65100,1.0,"25,25","0,00","25,25","0,00"
2023.0,04/2023,7892401006599.0,7892401006599.0,Acucareiro Utility Acrilico Tampa Rs,1.0,"11,75","0,00","11,75","0,00"
2023.0,04/2023,7896952514862.0,7896952514862.0,Jarra 1.200ml C/espremedor Jaguar,1.0,"8,00","0,00","8,00","0,00"
2023.0,04/2023,7898008426518.0,7898008426518.0,Travessa 23x16cm Oval Melamina Chefe,1.0,"12,50","0,00","12,50","0,00"
2023.0,04/2023,7899110641899.0,7899110641899.0,Saladeira 20cm Redonda Melamina Br,5.0,"42,50","0,00","42,50","0,00"
2023.0,04/2023,7896359010486.0,7896359010486.0,Organizador 51l Plastico Sanremo,1.0,"121,00","0,00","121,00","0,00"
2023.0,04/2023,7896359019366.0,7896359019366.0,Porta Papel Aluminio e Filme Sanremo,2.0,"35,50","0,00","35,50","0,00"
2023.0,04/2023,7908342102969.0,7908342102969.0,Pote Hermetico Rosca 250ml Tpa Br,10.0,"60,00","0,00","60,00","0,00"
2023.0,04/2023,7898955007020.0,7898955007020.0,Travessa Red Friso Le Chef Creme 26x11cm,1.0,"31,25","0,00","31,25","0,00"
2023.0,04/2023,7898121652252.0,7898121652252.0,Forma Gelo,9.0,"40,50","0,00","40,50","0,00"
2023.0,04/2023,7896553988956.0,7896553988956.0,Cj Cabide Coza Tutto Piccolo 3Pcs Br,4.0,"80,00","0,00","80,00","0,00"
2023.0,04/2023,7896359040605.0,7896359040605.0,Garrafa Termica 1l Sanremo Expressar Inox,2.0,"295,00","0,00","295,00","0,00"
2023.0,04/2023,7899014651574.0,7899014651574.0,Copo Canudo 300ml Cajovil Silicone Tpa Retratil Az,1.0,"37,50","0,00","37,50","0,00"
2023.0,04/2023,7896359017690.0,7896359017690.0,Copo Plastico Sanremo,32.0,"192,00","0,00","192,00","0,00"
2023.0,04/2023,7895155019051.0,7895155019051.0,Bacia 14l Plast Transparente ,2.0,"60,50","0,00","60,50","0,00"
2023.0,04/2023,7896359013326.0,7896359013326.0,Pote Fiambres Plast 1.4l Sanremo,8.0,"76,00","0,00","76,00","0,00"
2023.0,04/2023,7896359010271.0,7896359010271.0,Saladeira Sanremo Diam 190mm,3.0,"25,50","0,00","25,50","0,00"
2023.0,04/2023,7896553920611.0,7896553920611.0,Organizador Single Az,1.0,"18,25","0,00","18,25","0,00"
2023.0,04/2023,7895155808105.0,7895155808105.0,Porta Escova C/ Tampa Premium Trans Plast,3.0,"61,50","0,00","61,50","0,00"
2023.0,04/2023,7908439803786.0,7908439803786.0,Estojo Organizador Ferramentas Mc 8003-15 Arqplast,1.0,"35,75","0,00","35,75","0,00"
2023.0,04/2023,7898955006191.0,7898955006191.0,Bowl Coracao Le Chef Br 21x18x6cm,1.0,"17,25","0,00","17,25","0,00"
2023.0,04/2023,7896952531746.0,7896952531746.0,Organizador Ret 2.1l Jaguar Slim,10.0,"100,00","0,00","100,00","0,00"
2023.0,04/2023,7897291814095.0,7897291814095.0,"Pote Giplas Quadrado Alto 3,75LBr/Pt Pqal-40",2.0,"14,50","0,00","14,50","0,00"
2023.0,04/2023,7898943567147.0,7898943567147.0,Pote Hermetico Quad Lumini 1l,1.0,"39,00","0,00","39,00","0,00"
2023.0,04/2023,7895155615444.0,7895155615444.0,Porta Sabonete Liq Premium Br Plast,5.0,"97,50","0,00","97,50","0,00"
2023.0,04/2023,7896553900033.0,7896553900033.0,Porta Sabonete Liq 450ml Full,1.0,"19,25","0,00","19,25","0,00"
2023.0,04/2023,7896359011919.0,7896359011919.0,Banheira Sanremo 26l,1.0,"52,50","0,00","52,50","0,00"
2023.0,04/2023,7897698230511.0,7897698230511.0,Balde 13l Acqua Line Color,1.0,"33,00","0,00","33,00","0,00"
2023.0,04/2023,7895155358297.0,7895155358297.0,Separador Organizador Plast Vm,1.0,"25,00","0,00","25,00","0,00"
